Iteration,Cost
455,0.425352
456,0.425241
457,0.425129
458,0.425017
459,0.424905
460,0.424793
461,0.424682
462,0.42457
463,0.424458
464,0.424347
465,0.424235
466,0.424124
467,0.424012
468,0.423901
469,0.42379
470,0.423678
471,0.423567
472,0.423456
473,0.423345
474,0.423234
475,0.423123
476,0.423012
477,0.422901
478,0.42279
479,0.422679
480,0.422568
481,0.422457
482,0.422346
483,0.422236
484,0.422125
485,0.422014
486,0.421904
487,0.421793
488,0.421683
489,0.421572
490,0.421462
491,0.421351
492,0.421241
493,0.421131
494,0.421021
495,0.42091
496,0.4208
497,0.42069
498,0.42058
499,0.42047
500,0.42036
501,0.42025
502,0.42014
503,0.42003
504,0.41992
505,0.419811
506,0.419701
507,0.419591
508,0.419482
509,0.419372
510,0.419262
511,0.419153
512,0.419043
513,0.418934
514,0.418825
515,0.418715
516,0.418606
517,0.418497
518,0.418388
519,0.418278
520,0.418169
521,0.41806
522,0.417951
523,0.417842
524,0.417733
525,0.417624
526,0.417515
527,0.417407
528,0.417298
529,0.417189
530,0.41708
531,0.416972
532,0.416863
533,0.416754
534,0.416646
535,0.416537
536,0.416429
537,0.416321
538,0.416212
539,0.416104
540,0.415996
541,0.415887
542,0.415779
543,0.415671
544,0.415563
545,0.415455
546,0.415347
547,0.415239
548,0.415131
549,0.415023
550,0.414915
551,0.414807
552,0.4147
553,0.414592
554,0.414484
555,0.414377
556,0.414269
557,0.414161
558,0.414054
559,0.413946
560,0.413839
561,0.413732
562,0.413624
563,0.413517
564,0.41341
565,0.413303
566,0.413195
567,0.413088
568,0.412981
569,0.412874
570,0.412767
571,0.41266
572,0.412553
573,0.412446
574,0.412339
575,0.412233
576,0.412126
577,0.412019
578,0.411913
579,0.411806
580,0.411699
581,0.411593
582,0.411486
583,0.41138
584,0.411273
585,0.411167
586,0.411061
587,0.410954
588,0.410848
589,0.410742
590,0.410636
591,0.41053
592,0.410423
593,0.410317
594,0.410211
595,0.410105
596,0.41
597,0.409894
598,0.409788
599,0.409682
600,0.409576
601,0.409471
602,0.409365
603,0.409259
604,0.409154
605,0.409048
606,0.408943
607,0.408837
608,0.408732
609,0.408626
610,0.408521
611,0.408416
612,0.40831
613,0.408205
614,0.4081
615,0.407995
616,0.40789
617,0.407785
618,0.40768
619,0.407575
620,0.40747
621,0.407365
622,0.40726
623,0.407155
624,0.40705
625,0.406946
626,0.406841
627,0.406736
628,0.406632
629,0.406527
630,0.406423
631,0.406318
632,0.406214
633,0.406109
634,0.406005
635,0.405901
636,0.405796
637,0.405692
638,0.405588
639,0.405484
640,0.40538
641,0.405276
642,0.405172
643,0.405068
644,0.404964
645,0.40486
646,0.404756
647,0.404652
648,0.404548
649,0.404444
650,0.404341
651,0.404237
652,0.404133
653,0.40403
654,0.403926
655,0.403823
656,0.403719
657,0.403616
658,0.403513
659,0.403409
660,0.403306
661,0.403203
662,0.403099
663,0.402996
664,0.402893
665,0.40279
666,0.402687
667,0.402584
668,0.402481
669,0.402378
670,0.402275
671,0.402172
672,0.402069
673,0.401967
674,0.401864
675,0.401761
676,0.401658
677,0.401556
678,0.401453
679,0.401351
680,0.401248
681,0.401146
682,0.401043
683,0.400941
684,0.400839
685,0.400736
686,0.400634
687,0.400532
688,0.40043
689,0.400328
690,0.400225
691,0.400123
692,0.400021
693,0.399919
694,0.399817
695,0.399716
696,0.399614
697,0.399512
698,0.39941
699,0.399308
700,0.399207
701,0.399105
702,0.399003
703,0.398902
704,0.3988
705,0.398699
706,0.398597
707,0.398496
708,0.398394
709,0.398293
710,0.398192
711,0.398091
712,0.397989
713,0.397888
714,0.397787
715,0.397686
716,0.397585
717,0.397484
718,0.397383
719,0.397282
720,0.397181
721,0.39708
722,0.396979
723,0.396878
724,0.396778
725,0.396677
726,0.396576
727,0.396476
728,0.396375
729,0.396275
730,0.396174
731,0.396074
732,0.395973
733,0.395873
734,0.395772
735,0.395672
736,0.395572
737,0.395471
738,0.395371
739,0.395271
740,0.395171
741,0.395071
742,0.394971
743,0.394871
744,0.394771
745,0.394671
746,0.394571
747,0.394471
748,0.394371
749,0.394272
750,0.394172
751,0.394072
752,0.393973
753,0.393873
754,0.393773
755,0.393674
756,0.393574
757,0.393475
758,0.393375
759,0.393276
760,0.393177
761,0.393077
762,0.392978
763,0.392879
764,0.39278
765,0.39268
766,0.392581
767,0.392482
768,0.392383
769,0.392284
770,0.392185
771,0.392086
772,0.391987
773,0.391889
774,0.39179
775,0.391691
776,0.391592
777,0.391494
778,0.391395
779,0.391296
780,0.391198
781,0.391099
782,0.391001
783,0.390902
784,0.390804
785,0.390705
786,0.390607
787,0.390509
788,0.390411
789,0.390312
790,0.390214
791,0.390116
792,0.390018
793,0.38992
794,0.389822
795,0.389724
796,0.389626
797,0.389528
798,0.38943
799,0.389332
800,0.389234
801,0.389137
802,0.389039
803,0.388941
804,0.388843
805,0.388746
806,0.388648
807,0.388551
808,0.388453
809,0.388356
810,0.388258
811,0.388161
812,0.388064
813,0.387966
814,0.387869
815,0.387772
816,0.387674
817,0.387577
818,0.38748
819,0.387383
820,0.387286
821,0.387189
822,0.387092
823,0.386995
824,0.386898
825,0.386801
826,0.386704
827,0.386608
828,0.386511
829,0.386414
830,0.386318
831,0.386221
832,0.386124
833,0.386028
834,0.385931
