Iteration,Cost
456,0.666952
457,0.666902
458,0.666852
459,0.666802
460,0.666752
461,0.666703
462,0.666653
463,0.666603
464,0.666553
465,0.666503
466,0.666453
467,0.666404
468,0.666354
469,0.666304
470,0.666254
471,0.666205
472,0.666155
473,0.666106
474,0.666056
475,0.666006
476,0.665957
477,0.665907
478,0.665858
479,0.665808
480,0.665759
481,0.66571
482,0.66566
483,0.665611
484,0.665562
485,0.665512
486,0.665463
487,0.665414
488,0.665365
489,0.665315
490,0.665266
491,0.665217
492,0.665168
493,0.665119
494,0.66507
495,0.665021
496,0.664972
497,0.664923
498,0.664874
499,0.664825
500,0.664776
501,0.664727
502,0.664678
503,0.664629
504,0.66458
505,0.664532
506,0.664483
507,0.664434
508,0.664385
509,0.664337
510,0.664288
511,0.664239
512,0.664191
513,0.664142
514,0.664094
515,0.664045
516,0.663996
517,0.663948
518,0.663899
519,0.663851
520,0.663803
521,0.663754
522,0.663706
523,0.663657
524,0.663609
525,0.663561
526,0.663513
527,0.663464
528,0.663416
529,0.663368
530,0.66332
531,0.663272
532,0.663223
533,0.663175
534,0.663127
535,0.663079
536,0.663031
537,0.662983
538,0.662935
539,0.662887
540,0.662839
541,0.662791
542,0.662743
543,0.662696
544,0.662648
545,0.6626
546,0.662552
547,0.662504
548,0.662457
549,0.662409
550,0.662361
551,0.662313
552,0.662266
553,0.662218
554,0.662171
555,0.662123
556,0.662075
557,0.662028
558,0.66198
559,0.661933
560,0.661885
561,0.661838
562,0.661791
563,0.661743
564,0.661696
565,0.661648
566,0.661601
567,0.661554
568,0.661507
569,0.661459
570,0.661412
571,0.661365
572,0.661318
573,0.661271
574,0.661223
575,0.661176
576,0.661129
577,0.661082
578,0.661035
579,0.660988
580,0.660941
581,0.660894
582,0.660847
583,0.6608
584,0.660753
585,0.660706
586,0.660659
587,0.660613
588,0.660566
589,0.660519
590,0.660472
591,0.660426
592,0.660379
593,0.660332
594,0.660285
595,0.660239
596,0.660192
597,0.660145
598,0.660099
599,0.660052
600,0.660006
601,0.659959
602,0.659913
603,0.659866
604,0.65982
605,0.659773
606,0.659727
607,0.659681
608,0.659634
609,0.659588
610,0.659541
611,0.659495
612,0.659449
613,0.659403
614,0.659356
615,0.65931
616,0.659264
617,0.659218
618,0.659172
619,0.659126
620,0.659079
621,0.659033
622,0.658987
623,0.658941
624,0.658895
625,0.658849
626,0.658803
627,0.658757
628,0.658711
629,0.658665
630,0.65862
631,0.658574
632,0.658528
633,0.658482
634,0.658436
635,0.65839
636,0.658345
637,0.658299
638,0.658253
639,0.658207
640,0.658162
641,0.658116
642,0.65807
643,0.658025
644,0.657979
645,0.657934
646,0.657888
647,0.657843
648,0.657797
649,0.657752
650,0.657706
651,0.657661
652,0.657615
653,0.65757
654,0.657525
655,0.657479
656,0.657434
657,0.657389
658,0.657343
659,0.657298
660,0.657253
661,0.657207
662,0.657162
663,0.657117
664,0.657072
665,0.657027
666,0.656982
667,0.656937
668,0.656891
669,0.656846
670,0.656801
671,0.656756
672,0.656711
673,0.656666
674,0.656621
675,0.656576
676,0.656531
677,0.656487
678,0.656442
679,0.656397
680,0.656352
681,0.656307
682,0.656262
683,0.656218
684,0.656173
685,0.656128
686,0.656083
687,0.656039
688,0.655994
689,0.655949
690,0.655905
691,0.65586
692,0.655815
693,0.655771
694,0.655726
695,0.655682
696,0.655637
697,0.655593
698,0.655548
699,0.655504
700,0.655459
701,0.655415
702,0.655371
703,0.655326
704,0.655282
705,0.655237
706,0.655193
707,0.655149
708,0.655105
709,0.65506
710,0.655016
711,0.654972
712,0.654928
713,0.654883
714,0.654839
715,0.654795
716,0.654751
717,0.654707
718,0.654663
719,0.654619
720,0.654575
721,0.654531
722,0.654487
723,0.654443
724,0.654399
725,0.654355
726,0.654311
727,0.654267
728,0.654223
729,0.654179
730,0.654135
731,0.654092
732,0.654048
733,0.654004
734,0.65396
735,0.653916
736,0.653873
737,0.653829
738,0.653785
739,0.653742
740,0.653698
741,0.653654
742,0.653611
743,0.653567
744,0.653523
745,0.65348
746,0.653436
747,0.653393
748,0.653349
749,0.653306
750,0.653262
751,0.653219
752,0.653175
753,0.653132
754,0.653089
755,0.653045
756,0.653002
757,0.652959
758,0.652915
759,0.652872
760,0.652829
761,0.652785
762,0.652742
763,0.652699
764,0.652656
765,0.652613
766,0.652569
767,0.652526
768,0.652483
769,0.65244
770,0.652397
771,0.652354
772,0.652311
773,0.652268
774,0.652225
775,0.652182
776,0.652139
777,0.652096
778,0.652053
779,0.65201
780,0.651967
781,0.651924
782,0.651881
783,0.651838
784,0.651795
785,0.651753
786,0.65171
787,0.651667
788,0.651624
789,0.651582
790,0.651539
791,0.651496
792,0.651453
793,0.651411
794,0.651368
795,0.651325
796,0.651283
797,0.65124
798,0.651198
799,0.651155
800,0.651112
801,0.65107
802,0.651027
803,0.650985
804,0.650942
805,0.6509
806,0.650857
807,0.650815
808,0.650773
809,0.65073
810,0.650688
811,0.650646
812,0.650603
813,0.650561
814,0.650519
815,0.650476
816,0.650434
817,0.650392
818,0.650349
819,0.650307
820,0.650265
821,0.650223
822,0.650181
823,0.650139
824,0.650096
825,0.650054
826,0.650012
827,0.64997
828,0.649928
829,0.649886
830,0.649844
