Index,Weight
0,5.68122
1,0.0571391
2,-0.178258
3,-0.0603486
4,0.0285259
5,-0.0647598
6,0.0505438
7,-0.146263
8,-0.0688157
9,-0.073911
10,0.25839
11,0.271174
12,-0.0362969
13,-0.00147177
14,0.0516413
15,-0.00498564
16,-0.00300501
17,-0.0100564
18,0.0199326
19,0.0260899
20,-0.017428
21,-0.0400085
22,-0.0109313
